Timeline Trace
Generated on: 2021-01-14 20:04:17
Msec since Epoch: 1610654657419
Profiled application: medi_pro
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
99.995477,clGetPlatformIDs|General,START,,,,,,,,,,,0,
100.055443,clGetPlatformIDs|General,END,,,,,,,,,,,0,
100.063284,clGetPlatformIDs|General,START,,,,,,,,,,,1,
100.068468,clGetPlatformIDs|General,END,,,,,,,,,,,1,
100.07509,clGetPlatformInfo|General,START,,,,,,,,,,,2,
100.080645,clGetPlatformInfo|General,END,,,,,,,,,,,2,
100.085261,clGetPlatformInfo|General,START,,,,,,,,,,,3,
100.089891,clGetPlatformInfo|General,END,,,,,,,,,,,3,
100.12028,clGetDeviceIDs|General,START,,,,,,,,,,,4,
100.129851,clGetDeviceIDs|General,END,,,,,,,,,,,4,
100.134722,clGetDeviceIDs|General,START,,,,,,,,,,,5,
100.139488,clGetDeviceIDs|General,END,,,,,,,,,,,5,
100.146512,clRetainDevice|General,START,,,,,,,,,,,6,
100.151622,clRetainDevice|General,END,,,,,,,,,,,6,
100.156235,clRetainDevice|General,START,,,,,,,,,,,7,
100.160693,clRetainDevice|General,END,,,,,,,,,,,7,
100.167741,clCreateContext|General,START,,,,,,,,,,,8,
100.185362,clCreateContext|General,END,,,,,,,,,,,8,
100.191269,clCreateCommandQueue|General,START,,,,,,,,,,,9,
100.207301,clCreateCommandQueue|General,END,,,,,,,,,,,9,
100.213152,clGetDeviceInfo|General,START,,,,,,,,,,,10,
100.219537,clGetDeviceInfo|General,END,,,,,,,,,,,10,
100.224137,clGetDeviceInfo|General,START,,,,,,,,,,,11,
100.231911,clGetDeviceInfo|General,END,,,,,,,,,,,11,
101.542131,clCreateProgramWithBinary|General,START,,,,,,,,,,,12,
119.32706,clCreateProgramWithBinary|General,END,,,,,,,,,,,12,
119.348836,clCreateKernel|General,START,,,,,,,,,,,13,
